Family,Species name,Europe Category,Europe Endemic,EU27 Category,EU27 Endemic
BRACHODIDAE,Brachodes albina,DD,Yes,,No
BRACHODIDAE,Brachodes appendiculata,VU,No,VU,No
BRACHODIDAE,Brachodes beryti,DD,No,DD,No
BRACHODIDAE,Brachodes compar,DD,No,DD,No
BRACHODIDAE,Brachodes flavescens,DD,Yes,DD,No
BRACHODIDAE,Brachodes fulgurita,DD,No,,No
BRACHODIDAE,Brachodes funebris,LC,Yes,LC,Yes
BRACHODIDAE,Brachodes gaditana,LC,No,LC,No
BRACHODIDAE,Brachodes laeta,DD,Yes,DD,Yes
BRACHODIDAE,Brachodes lucida,DD,No,DD,No
BRACHODIDAE,Brachodes nana,DD,No,DD,No
BRACHODIDAE,Brachodes powelli,DD,No,DD,No
BRACHODIDAE,Brachodes pumila,LC,No,LC,No
BRACHODIDAE,Brachodes tristis,DD,No,DD,No
BRAHMAEIDAE,Brahmaea europaea,EN,Yes,EN,Yes
BRAHMAEIDAE,Lemonia balcanica,LC,No,LC,No
BRAHMAEIDAE,Lemonia ballioni,DD,No,,No
BRAHMAEIDAE,Lemonia dumi,VU,No,VU,No
BRAHMAEIDAE,Lemonia philopalus,LC,No,LC,No
BRAHMAEIDAE,Lemonia strigata,DD,Yes,DD,No
BRAHMAEIDAE,Lemonia taraxaci,LC,No,LC,No
CIMELIIDAE,Axia margarita,NT,No,NT,No
CIMELIIDAE,Axia napoleona,VU,Yes,VU,Yes
CIMELIIDAE,Axia nesiota,LC,Yes,LC,Yes
COSSIDAE,Acossus terebra,NT,No,NT,No
COSSIDAE,Cossus cossus,LC,No,LC,No
COSSIDAE,Deserticossus arenicola,NA,No,,No
COSSIDAE,Deserticossus campicola,DD,No,,No
COSSIDAE,Deserticossus sareptensis,DD,No,,No
COSSIDAE,Deserticossus volgensis,DD,No,,No
COSSIDAE,Dyspessa aculeata,DD,Yes,DD,Yes
COSSIDAE,Dyspessa aphrodite,DD,Yes,DD,Yes
COSSIDAE,Dyspessa infuscata,DD,No,,No
COSSIDAE,Dyspessa kostjuki,DD,No,,No
COSSIDAE,Dyspessa peukerae,DD,Yes,DD,Yes
COSSIDAE,Dyspessa salicicola,LC,No,LC,No
COSSIDAE,Dyspessa ulula,LC,No,LC,No
COSSIDAE,Dyspessa wagneri,DD,No,,No
COSSIDAE,Eremocossus almeriana,DD,Yes,DD,Yes
COSSIDAE,Eremocossus friedrichi,DD,Yes,DD,Yes
COSSIDAE,Kotchevnik modestus,DD,No,,No
COSSIDAE,Paracossulus thrips,NT,No,NT,No
COSSIDAE,Parahypopta caestrum,LC,No,LC,No
COSSIDAE,Parahypopta radoti,DD,Yes,DD,Yes
COSSIDAE,Paropta l-nigrum,DD,No,DD,No
COSSIDAE,Paropta paradoxus,DD,No,DD,No
COSSIDAE,Phragmacossia albida,DD,No,DD,No
COSSIDAE,Phragmacossia minos,LC,Yes,LC,Yes
COSSIDAE,Phragmataecia castaneae,LC,No,NT,No
COSSIDAE,Stygia australis,LC,Yes,LC,Yes
COSSIDAE,Stygia mosulensis,DD,No,DD,No
COSSIDAE,Stygia nilssoni,DD,Yes,DD,Yes
COSSIDAE,Stygioides colchica,DD,No,DD,No
COSSIDAE,Stygioides italica,DD,Yes,DD,Yes
COSSIDAE,Stygioides persephone,DD,Yes,DD,Yes
COSSIDAE,Stygioides tricolor,DD,No,,No
COSSIDAE,Zeuzera pyrina,LC,No,LC,No
DREPANIDAE,Achlya flavicornis,LC,No,LC,No
DREPANIDAE,Asphalia ruficollis,LC,No,LC,No
DREPANIDAE,Cilix algirica,LC,No,LC,No
